

pol_length, Y
0, 0.0190404
0.25, 0.0348749
0.5, 0.0666004
0.75, 0.103316
1, 0.160402
1.25, 0.226451
1.5, 0.258946
1.75, 0.325203
2, 0.411933
2.25, 0.469852
2.5, 0.499407
2.75, 0.536883
3, 0.559008
3.25, 0.569251
3.5, 0.572004
3.75, 0.55847
4, 0.533687
4.25, 0.493875
4.5, 0.433159
4.75, 0.381244
5, 0.333648




pol_length, Y
0, 1.71281
0.25, 1.79648
0.5, 1.74455
0.75, 1.74738
1, 2.01818
1.25, 2.36303
1.5, 2.66659
1.75, 2.85362
2, 3.38654
2.25, 3.62456
2.5, 3.68262
2.75, 4.10849
3, 4.58024
3.25, 4.65886
3.5, 4.59945
3.75, 4.74516
4, 4.578
4.25, 4.42039
4.5, 4.58777
4.75, 4.4404
5, 4.21542


